#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Pseudomonas aeruginosa","CR1","GCA_003025345.2","Complete",6.16486,66.8415,"chromosome:NZ_CP020560.1/CP020560.1; plasmid pCR1:NZ_CP020561.2/CP020561.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/025/345/GCA_003025345.2_ASM302534v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/345/GCF_003025345.2_ASM302534v2"
"Escherichia coli","2013C-4361","GCA_003017975.1","Complete",5.38846,50.5908,"chromosome:NZ_CP027347.1/CP027347.1; plasmid unnamed:NZ_CP027348.1/CP027348.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/975/GCA_003017975.1_ASM301797v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/975/GCF_003017975.1_ASM301797v1"
"Salmonella enterica subsp. enterica serovar Crossness str. 1422-74","1422-74","GCA_001975245.1","Complete",4.84747,52.2,"chromosome:NZ_CP019408.1/CP019408.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/975/245/GCA_001975245.1_ASM197524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/245/GCF_001975245.1_ASM197524v1"
"Salmonella enterica subsp. enterica serovar Dublin","CVM 34981","GCA_003589825.1","Complete",5.06752,52.1471,"chromosome:NZ_CP032390.1/CP032390.1; plasmid p34981_1:NZ_CP032391.1/CP032391.1; plasmid p34981_2:NZ_CP032392.1/CP032392.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/589/825/GCA_003589825.1_ASM358982v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/589/825/GCF_003589825.1_ASM358982v1"
"Escherichia coli O7:K1 str. CE10","CE10","GCA_000227625.1","Complete",5.37873,50.5766,"chromosome:NC_017646.1/CP003034.1; plasmid pCE10A:NC_017647.1/CP003035.1; plasmid pCE10B:NC_017648.1/CP003036.1; plasmid pCE10C:NC_017649.1/CP003037.1; plasmid pCE10D:NC_017650.1/CP003038.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/625/GCA_000227625.1_ASM22762v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/625/GCF_000227625.1_ASM22762v1"
"Klebsiella pneumoniae subsp. pneumoniae","TGH13","GCA_001746535.1","Complete",5.34458,57.4,"chromosome:NZ_CP012745.1/CP012745.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/535/GCA_001746535.1_ASM174653v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/535/GCF_001746535.1_ASM174653v1"
"Klebsiella pneumoniae","BR","GCA_001663195.1","Complete",5.42072,57.3423,"chromosome:NZ_CP015990.1/CP015990.1; plasmid pWSZBR:NZ_CP015991.1/CP015991.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/195/GCA_001663195.1_ASM166319v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/195/GCF_001663195.1_ASM166319v1"
"Escherichia coli","2015C-3101","GCA_003017455.1","Complete",5.43421,50.5631,"chromosome:NZ_CP027221.1/CP027221.1; plasmid unnamed1:NZ_CP027222.1/CP027222.1; plasmid unnamed2:NZ_CP027223.1/CP027223.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/455/GCA_003017455.1_ASM301745v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/455/GCF_003017455.1_ASM301745v1"
"Salmonella enterica subsp. enterica serovar Derby","2014LSAL01779","GCA_002946375.1","Complete",4.84682,52.1,"chromosome:NZ_CP026609.1/CP026609.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/946/375/GCA_002946375.1_ASM294637v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/375/GCF_002946375.1_ASM294637v1"
"Salmonella enterica subsp. enterica serovar Newport","0007-33","GCA_001922165.1","Complete",4.84674,52.2,"chromosome:NZ_CP013685.1/CP013685.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/165/GCA_001922165.1_ASM192216v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/165/GCF_001922165.1_ASM192216v1"
"Escherichia coli O104:H4 str. 2009EL-2071","2009EL-2071","GCA_000299475.1","Complete",5.38971,50.651,"chromosome:NC_018661.1/CP003301.1; plasmid pAA-09EL71:NC_018662.1/CP003302.1; plasmid pG-09EL71:NC_018663.1/CP003303.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/475/GCA_000299475.1_ASM29947v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/475/GCF_000299475.1_ASM29947v1"
"Klebsiella pneumoniae","32192","GCA_000807395.3","Complete",5.6208,57.2065,"chromosome:NZ_CP010361.1/CP010361.1; plasmid unnamed_1:NZ_CP010574.1/CP010574.1; plasmid unnamed_2:NZ_CP010575.1/CP010575.1; plasmid unnamed_3:NZ_CP010576.1/CP010576.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/395/GCA_000807395.3_ASM80739v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/395/GCF_000807395.2_ASM80739v3"
"Klebsiella pneumoniae","NKU_Kleb8A7","GCA_007197815.1","Complete",5.45653,57.3721,"chromosome:NZ_CP041644.1/CP041644.1; plasmid pKleb8A7:NZ_CP041645.1/CP041645.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/197/815/GCA_007197815.1_ASM719781v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/197/815/GCF_007197815.1_ASM719781v1"
"Escherichia coli","FDAARGOS_401","GCA_002393465.1","Complete",5.38737,50.6509,"chromosome:NZ_CP023531.1/CP023531.1; plasmid unnamed:NZ_CP023530.1/CP023530.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/465/GCA_002393465.1_ASM239346v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/465/GCF_002393465.1_ASM239346v1"
"Salmonella enterica subsp. enterica serovar Typhimurium","NC983","GCA_001705365.1","Complete",4.94013,52.2171,"chromosome:NZ_CP015157.1/CP015157.1; plasmid unnamed:NZ_CP015158.1/CP015158.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/365/GCA_001705365.1_ASM170536v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/365/GCF_001705365.1_ASM170536v1"
"Salmonella enterica","SA19992307","GCA_003324955.1","Complete",4.91913,52.1454,"chromosome:NZ_CP030207.1/CP030207.1; plasmid pSA19992307.1:NZ_CP030208.1/CP030208.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/955/GCA_003324955.1_ASM332495v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/955/GCF_003324955.1_ASM332495v1"
"Escherichia coli","ECONIH1","GCA_000784925.1","Complete",5.55964,50.4351,"chromosome:NZ_CP009859.1/CP009859.1; plasmid pECO-824:NZ_CP009860.1/CP009860.1; plasmid pECO-b75:NZ_CP009861.1/CP009861.1; plasmid pKPC-629:NZ_CP009862.1/CP009862.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/925/GCA_000784925.1_ASM78492v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/925/GCF_000784925.1_ASM78492v1"
"Klebsiella pneumoniae","AR_0153","GCA_003069525.1","Complete",5.79948,56.7852,"chromosome:NZ_CP028932.1/CP028932.1; plasmid unnamed1:NZ_CP028929.1/CP028929.1; plasmid unnamed2:NZ_CP028930.1/CP028930.1; plasmid unnamed3:NZ_CP028931.1/CP028931.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/069/525/GCA_003069525.1_ASM306952v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/069/525/GCF_003069525.1_ASM306952v1"
"Klebsiella pneumoniae","11","GCA_001709275.1","Complete",5.8056,56.7804,"chromosome:NZ_CP016923.1/CP016923.1; plasmid unnamed1:NZ_CP016922.1/CP016919.1; plasmid unnamed1:NZ_CP016919.1/CP016919.1; plasmid unnamed2:NZ_CP016920.1/CP016920.1; plasmid unnamed2:NZ_CP016921.1/CP016920.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/275/GCA_001709275.1_ASM170927v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/275/GCF_001709275.1_ASM170927v1"
"Escherichia coli","RM11911","GCA_008761495.1","Complete",5.31034,51,"chromosome:NZ_CP044313.1/CP044313.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/495/GCA_008761495.1_ASM876149v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/495/GCF_008761495.1_ASM876149v1"
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1735","USDA-ARS-USMARC-1735","GCA_000988525.3","Complete",4.94553,51.9794,"chromosome:NZ_CP007584.2/CP007584.2; plasmid pSAN1-1735:NZ_CP014707.1/CP014707.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/525/GCA_000988525.3_ASM98852v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/525/GCF_000988525.3_ASM98852v3"
"Salmonella enterica subsp. enterica serovar Dublin","CVM N45955","GCA_003589805.1","Complete",5.00483,52.1446,"chromosome:NZ_CP032387.1/CP032387.1; plasmid pN45955_1:NZ_CP032388.1/CP032388.1; plasmid pN45955_2:NZ_CP032389.1/CP032389.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/589/805/GCA_003589805.1_ASM358980v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/589/805/GCF_003589805.1_ASM358980v1"
"Escherichia coli","C7","GCA_001901425.1","Complete",5.37241,50.6861,"chromosome:NZ_CP010240.1/CP010240.1; plasmid A:NZ_CP010241.1/CP010241.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/425/GCA_001901425.1_ASM190142v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/425/GCF_001901425.1_ASM190142v1"
"Klebsiella pneumoniae subsp. pneumoniae 1158","1158","GCA_000814805.1","Complete",5.34104,57.2,"chromosome:NZ_CP006722.1/CP006722.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/805/GCA_000814805.1_ASM81480v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/805/GCF_000814805.1_ASM81480v1"
"Klebsiella pneumoniae","1050","GCA_003443755.1","Complete",5.97763,56.8064,"chromosome:NZ_CP023416.1/CP023416.1; plasmid pKp1050-1:NZ_CP023417.1/CP023417.1; plasmid pKp1050-2:NZ_CP023418.1/CP023418.1; plasmid pKp1050-3:NZ_CP023419.1/CP023419.1; plasmid pKp1050-4:NZ_CP023420.1/CP023420.1; plasmid unnamed:NZ_CP023421.1/CP023421.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/755/GCA_003443755.1_ASM344375v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/755/GCF_003443755.1_ASM344375v1"
"Escherichia coli","A1_136","GCA_005886035.1","Complete",5.30571,50.6,"chromosome:NZ_CP040390.1/CP040390.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/035/GCA_005886035.1_ASM588603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/886/035/GCF_005886035.1_ASM588603v1"
"Salmonella enterica subsp. enterica serovar Dublin","USMARC-69807","GCA_003595725.1","Complete",5.01534,52.158,"chromosome:NZ_CP032379.1/CP032379.1; plasmid pSDU1-USMARC-69807:NZ_CP032380.1/CP032380.1; plasmid pSDU2-USMARC-69807:NZ_CP032381.1/CP032381.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/725/GCA_003595725.1_ASM359572v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/595/725/GCF_003595725.1_ASM359572v1"
"Salmonella enterica subsp. enterica serovar Dublin","USMARC-69840","GCA_003595645.1","Complete",4.99586,52.1648,"chromosome:NZ_CP032446.1/CP032446.1; plasmid pSDU1-USMARC-69840:NZ_CP032447.1/CP032447.1; plasmid pSDU2-USMARC-69840:NZ_CP032448.1/CP032448.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/645/GCA_003595645.1_ASM359564v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/595/645/GCF_003595645.1_ASM359564v1"
"Escherichia coli","2014C-3061","GCA_003018155.1","Complete",5.39805,50.5704,"chromosome:NZ_CP027548.1/CP027548.1; plasmid unnamed:NZ_CP027549.1/CP027549.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/155/GCA_003018155.1_ASM301815v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/155/GCF_003018155.1_ASM301815v1"
"Klebsiella pneumoniae","INF042","GCA_002752995.1","Complete",5.51945,57.2545,"chromosome:NZ_CP024542.1/CP024542.1; plasmid unnamed1:NZ_CP024543.1/CP024543.1; plasmid unnamed2:NZ_CP024544.1/CP024544.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/995/GCA_002752995.1_ASM275299v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/995/GCF_002752995.1_ASM275299v1"
"Klebsiella pneumoniae","INF059","GCA_002753355.1","Complete",5.51945,57.2545,"chromosome:NZ_CP024545.1/CP024545.1; plasmid unnamed1:NZ_CP024546.1/CP024546.1; plasmid unnamed2:NZ_CP024547.1/CP024547.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/355/GCA_002753355.1_ASM275335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/753/355/GCF_002753355.1_ASM275335v1"
"Escherichia coli","FDAARGOS_772","GCA_006364695.1","Complete",5.38104,50.6457,"chromosome:NZ_CP041002.1/CP041002.1; plasmid unnamed1:NZ_CP041001.1/CP041001.1; plasmid unnamed2:NZ_CP041003.1/CP041003.1; plasmid unnamed3:NZ_CP041004.1/CP041004.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/364/695/GCA_006364695.1_ASM636469v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/364/695/GCF_006364695.1_ASM636469v1"
"Salmonella enterica subsp. enterica serovar Typhi","H12ESR04734-001A","GCA_001163025.2","Complete",4.84307,52.1,"chromosome 1:NZ_LT904868.1/LT904868.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/163/025/GCA_001163025.2_H12ESR04734-001A","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/163/025/GCF_001163025.2_H12ESR04734-001A"
"Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853","CT_02021853","GCA_000020925.1","Complete",4.91746,52.1454,"chromosome:NC_011205.1/CP001144.1; plasmid pCT02021853_74:NC_011204.1/CP001143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/925/GCA_000020925.1_ASM2092v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/925/GCF_000020925.1_ASM2092v1"
"Escherichia coli","SMN152SH1","GCA_002863685.1","Complete",5.44706,50.58,"chromosome:NZ_CP024618.1/CP024618.1; plasmid pO177A1:NZ_CP024617.1/CP024617.1; plasmid pO177B1:NZ_CP024616.1/CP024616.1; plasmid pO177C1:NZ_CP024615.1/CP024615.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/685/GCA_002863685.1_ASM286368v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/685/GCF_002863685.1_ASM286368v1"
"Klebsiella pneumoniae","Kpn555","GCA_001663455.1","Complete",5.73034,57.0043,"chromosome:NZ_CP015130.1/CP015130.1; plasmid pKPN-7c3:NZ_CP015131.1/CP015131.1; plasmid pKPN-d6b:NZ_CP015133.1/CP015133.1; plasmid pKPN-d90:NZ_CP015132.1/CP015132.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/455/GCA_001663455.1_ASM166345v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/455/GCF_001663455.1_ASM166345v1"
"Klebsiella pneumoniae","19051","GCA_002209405.1","Complete",5.33298,57.4,"chromosome:NZ_CP022023.1/CP022023.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/405/GCA_002209405.1_ASM220940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/405/GCF_002209405.1_ASM220940v1"
"Escherichia coli","Escherichia coli str. TO217","GCA_900520365.1","Complete",5.51777,50.6296,"chromosome 1:NZ_LS992192.1/LS992192.1; plasmid 2:NZ_LS992193.1/LS992193.1; plasmid 3:NZ_LS992194.1/LS992194.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/520/365/GCA_900520365.1_ASM90052036v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/520/365/GCF_900520365.1_ASM90052036v1"
"Salmonella enterica subsp. enterica serovar Typhi","311189_222186","GCA_003718315.1","Complete",4.84272,52.1,"chromosome:NZ_CP029909.1/CP029909.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/718/315/GCA_003718315.1_ASM371831v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/718/315/GCF_003718315.1_ASM371831v1"
"Salmonella enterica subsp. enterica serovar Dublin str. ATCC 39184","ATCC 39184","GCA_001953035.1","Complete",4.91714,52.1454,"chromosome:NZ_CP019179.1/CP019179.1; plasmid pATCC39184:NZ_CP019180.1/CP019180.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/953/035/GCA_001953035.1_ASM195303v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/035/GCF_001953035.1_ASM195303v1"
"Escherichia coli O111:H-","110512","GCA_007990655.1","Complete",5.56634,50.5636,"chromosome:NZ_AP019761.1/AP019761.1; plasmid pO111-110512_1:NZ_AP019762.1/AP019762.1; plasmid pO111-110512_2:NZ_AP019763.1/AP019763.1; plasmid pO111-110512_3:NZ_AP019764.1/AP019764.1; plasmid pO111-110512_4:NZ_AP019765.1/AP019765.1; plasmid pO111-110512_5:NZ_AP019766.1/AP019766.1; plasmid pO111-110512_6:NZ_AP019767.1/AP019767.1; plasmid pO111-110512_7:NZ_AP019768.1/AP019768.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/990/655/GCA_007990655.1_ASM799065v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/990/655/GCF_007990655.1_ASM799065v1"
"Klebsiella pneumoniae","AR376","GCA_003074015.1","Complete",5.67566,57.1088,"chromosome:NZ_CP029137.1/CP029137.1; plasmid unnamed1:NZ_CP029135.1/CP029135.1; plasmid unnamed2:NZ_CP029136.1/CP029136.1; plasmid unnamed3:NZ_CP029138.1/CP029138.1; plasmid unnamed4:NZ_CP029139.1/CP029139.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/015/GCA_003074015.1_ASM307401v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/074/015/GCF_003074015.1_ASM307401v1"
"Klebsiella aerogenes","NCTC10006","GCA_900635435.1","Complete",5.26547,54.9111,"chromosome 1:LR134121.1; chromosome 3:LR134123.1; chromosome 6:LR134126.1; plasmid 2:LR134122.1; plasmid 4:LR134124.1; plasmid 5:LR134125.1; plasmid 7:LR134127.1; plasmid 8:LR134128.1; plasmid 9:LR134129.1; plasmid 10:LR134130.1; plasmid 11:LR134131.1; plasmid 12:LR134132.1; plasmid 13:LR134133.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/435/GCA_900635435.1_28021_A02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/435/GCF_900635435.1_28021_A02"
"Klebsiella pneumoniae","Kp_Goe_39795","GCA_001902395.1","Complete",5.67652,56.9228,"chromosome:NZ_CP018458.1/CP018458.1; plasmid pKp_Goe_795-1:NZ_CP018460.1/CP018460.1; plasmid pKp_Goe_795-2:NZ_CP018461.1/CP018461.1; plasmid pKp_Goe_795-3:NZ_CP018462.1/CP018462.1; plasmid pKp_Goe_795-4:NZ_CP018459.1/CP018459.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/395/GCA_001902395.1_ASM190239v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/395/GCF_001902395.1_ASM190239v1"
"Escherichia coli","2017C-4173W12","GCA_003308975.1","Complete",5.47712,50.7058,"chromosome:NZ_CP030768.1/CP030768.1; plasmid p2017C-4173W12:NZ_CP030770.1/CP030770.1; plasmid pMCR-1_2017C-4173W12:NZ_CP030769.1/CP030769.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/308/975/GCA_003308975.1_ASM330897v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/308/975/GCF_003308975.1_ASM330897v1"
"Salmonella enterica subsp. enterica serovar Newport str. Levine 1","Levine 1","GCA_000271885.2","Complete",4.84192,52.1,"chromosome:NZ_CP015923.1/CP015923.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/885/GCA_000271885.2_ASM27188v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/885/GCF_000271885.2_ASM27188v2"
"Salmonella enterica subsp. enterica serovar Agona","USDA-ARS-USMARC-76341","GCA_006165265.1","Complete",4.84141,52.1,"chromosome:NZ_CP025453.1/CP025453.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/165/265/GCA_006165265.1_ASM616526v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/165/265/GCF_006165265.1_ASM616526v1"
"Escherichia coli","NCTC9702","GCA_900636275.1","Complete",5.29796,50.5,"chromosome 1:NZ_LR134246.1/LR134246.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/275/GCA_900636275.1_40295_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/275/GCF_900636275.1_40295_G01"
"Klebsiella pneumoniae","ST307PT01","GCA_003597755.1","Complete",5.61352,57.1662,"chromosome:NZ_CP022924.1/CP022924.1; plasmid pJYC01A:NZ_CP022926.1/CP022926.1; plasmid pJYC01B:NZ_CP022925.1/CP022925.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/755/GCA_003597755.1_ASM359775v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/755/GCF_003597755.1_ASM359775v1"
"Klebsiella pneumoniae","AR_0160","GCA_003571585.1","Complete",5.54725,57.1739,"chromosome:NZ_CP032175.1/CP032175.1; plasmid unnamed1:NZ_CP032173.1/CP032173.1; plasmid unnamed2:NZ_CP032174.1/CP032174.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/571/585/GCA_003571585.1_ASM357158v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/585/GCF_003571585.1_ASM357158v1"
"Escherichia coli","NCTC10444","GCA_900635325.1","Complete",5.29503,50.5,"chromosome 1:NZ_LR134092.1/LR134092.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/325/GCA_900635325.1_41556_D01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/325/GCF_900635325.1_41556_D01"
"Salmonella enterica subsp. enterica serovar Tennessee","PIR00537","GCA_003031855.1","Complete",4.84081,52.2,"chromosome:NZ_CP025217.1/CP025217.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/855/GCA_003031855.1_ASM303185v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/031/855/GCF_003031855.1_ASM303185v1"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","4316STDY6559669","GCA_901457615.1","Complete",4.83901,52.1,"NZ_LR590081.1/LR590081.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/457/615/GCA_901457615.1_ERS3381924","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/615/GCF_901457615.1_ERS3381924"
"Escherichia coli O104:H4 str. C227-11","C227-11","GCA_000986765.1","Complete",5.44601,50.6146,"chromosome:NZ_CP011331.1/CP011331.1; plasmid unnamed:NZ_CP011338.1/CP011337.1; plasmid unnamed:NZ_CP011333.1/CP011332.1; plasmid unnamed:NZ_CP011337.1/CP011334.1; plasmid unnamed:NZ_CP011334.1/CP011334.1; plasmid unnamed:NZ_CP011332.1/CP011333.1; plasmid unnamed:NZ_CP011336.1/CP011333.1; plasmid unnamed:NZ_CP011335.1/CP011333.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/986/765/GCA_000986765.1_ASM98676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/986/765/GCF_000986765.1_ASM98676v1"
"Klebsiella pneumoniae UHKPC33","UHKPC33","GCA_000417085.2","Complete",5.66312,57.1333,"chromosome:NZ_CP011989.1/CP011989.1; plasmid pUHKPC33-113.638kb:NZ_CP011991.1/CP011991.1; plasmid pUHKPC33-13.841kb:NZ_CP011993.1/CP011993.1; plasmid pUHKPC33-162.533kb:NZ_CP011990.1/CP011990.1; plasmid pUHKPC33-43.380kb:NZ_CP011992.1/CP011992.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/085/GCA_000417085.2_ASM41708v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/085/GCF_000417085.2_ASM41708v2"
"Klebsiella pneumoniae HK787","HK787","GCA_000813205.1","Complete",5.32939,57.5,"chromosome:NZ_CP006738.1/CP006738.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/813/205/GCA_000813205.1_ASM81320v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/813/205/GCF_000813205.1_ASM81320v1"
"Escherichia coli","CFSAN061770","GCA_002278115.2","Complete",5.71165,50.4727,"chromosome:NZ_CP023142.1/CP023142.1; plasmid pEGY1-MCR-1:NZ_CP023143.1/CP023143.1; plasmid pEGY2:NZ_CP023144.1/CP023144.1; plasmid pEGY3:NZ_CP023145.1/CP023145.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/278/115/GCA_002278115.2_ASM227811v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/115/GCF_002278115.2_ASM227811v2"
"Salmonella enterica subsp. enterica serovar Saintpaul","FDAARGOS_373","GCA_002386325.1","Complete",4.8381,52.2,"chromosome:NZ_CP023512.1/CP023512.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/325/GCA_002386325.1_ASM238632v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/325/GCF_002386325.1_ASM238632v1"
